Sigla;Código;Estado;Ano;Admissoes;Demissoes;Despesa_Saude_Saneamento;IVS_Renda_Trabalho;Populacao;Taxa_Desemprego;Taxa_Pobreza
AC;12;Acre;1991;;;;;417718,0;;
AC;12;Acre;1996;;;;;483593,0;;
AC;12;Acre;2000;;;;;557882,0;;
AC;12;Acre;2007;;;;;655385,0;;
AC;12;Acre;2010;;;;;733559,0;;
AC;12;Acre;2017;;;956570437,48;0,419;;6,9;
AC;12;Acre;2018;;;1054523875,32;0,383;;6,1;
AC;12;Acre;2019;;;995385374,27;0,4;;8,6;51,9
AC;12;Acre;2020;25155,0;20691,0;1270242688,88;0,406;;5,5;48,4
AC;12;Acre;2021;37950,0;29266,0;1390193354,78;0,424;;;54,1
AC;12;Acre;2022;47917,0;40352,0;1586209591,23;0,329;830018,0;9,9;51,0
AC;12;Acre;2023;48698,0;44683,0;1842898088,73;;;3,8;51,4968307368981
AC;12;Acre;2024;53418,0;47419,0;;;;6,6;
AC;12;Acre;2025;9110,0;9326,0;;;;;
AL;27;Alagoas;1991;;;;;2514100,0;;
AL;27;Alagoas;1996;;;;;2633251,0;;
AL;27;Alagoas;2000;;;;;2827856,0;;
AL;27;Alagoas;2007;;;;;3037103,0;;
AL;27;Alagoas;2010;;;;;3120494,0;;
AL;27;Alagoas;2017;;;1105665076,76;0,46;;10,1;
AL;27;Alagoas;2018;;;1333359424,17;0,45;;10,5;
AL;27;Alagoas;2019;;;1326634153,92;0,429;;9,8;58,2
AL;27;Alagoas;2020;103029,0;98726,0;1567951987,23;0,448;;17,8;53,7
AL;27;Alagoas;2021;143888,0;114537,0;2414753208,22;0,452;;;60,3
AL;27;Alagoas;2022;170798,0;150111,0;2799934142,42;0,335;3127683,0;6,0;54,2
AL;27;Alagoas;2023;177786,0;159611,0;2799509542,77;;;9,4;46,2283508450686
AL;27;Alagoas;2024;198213,0;181426,0;;;;6,6;
AL;27;Alagoas;2025;32109,0;38520,0;;;;;
AM;13;Amazonas;1991;;;;;2103243,0;;
AM;13;Amazonas;1996;;;;;2389279,0;;
AM;13;Amazonas;2000;;;;;2817252,0;;
AM;13;Amazonas;2007;;;;;3221939,0;;
AM;13;Amazonas;2010;;;;;3483985,0;;
AM;13;Amazonas;2017;;;2436933663,14;0,379;;3,3;
AM;13;Amazonas;2018;;;2800672292,31;0,374;;5,7;
AM;13;Amazonas;2019;;;2969973732,3;0,372;;2,6;56,4
AM;13;Amazonas;2020;140866,0;129455,0;3914256006,21;0,375;;1,9;51,6
AM;13;Amazonas;2021;193341,0;157634,0;4468274881,96;0,408;;;58,4
AM;13;Amazonas;2022;232076,0;200385,0;4594280012,02;0,291;3941613,0;2,9;55,1
AM;13;Amazonas;2023;235306,0;211998,0;4857331915,59;;;4,3;45,4932755808476
AM;13;Amazonas;2024;285045,0;248838,0;;;;6,6;
AM;13;Amazonas;2025;55661,0;49958,0;;;;;
AP;16;Amapá;1991;;;;;289397,0;;
AP;16;Amapá;1996;;;;;379459,0;;
AP;16;Amapá;2000;;;;;477032,0;;
AP;16;Amapá;2007;;;;;587311,0;;
AP;16;Amapá;2010;;;;;669526,0;;
AP;16;Amapá;2017;;;682529348,51;0,385;;14,0;
AP;16;Amapá;2018;;;757636648,27;0,396;;8,3;
AP;16;Amapá;2019;;;800384336,79;0,386;;11,4;53,5
AP;16;Amapá;2020;17332,0;16346,0;1185466927,03;0,385;;6,5;49,1
AP;16;Amapá;2021;26547,0;22683,0;1416556453,92;0,359;;;57,0
AP;16;Amapá;2022;39512,0;34749,0;1406959838,79;0,285;733759,0;11,9;47,8
AP;16;Amapá;2023;40179,0;35974,0;1872625285,07;;;7,8;32,8925396236173
AP;16;Amapá;2024;47065,0;39929,0;;;;4,2;
AP;16;Amapá;2025;8836,0;7583,0;;;;;
BA;29;Bahia;1991;;;;;11867991,0;;
BA;29;Bahia;1996;;;;;12541675,0;;
BA;29;Bahia;2000;;;;;13085769,0;;
BA;29;Bahia;2007;;;;;14080654,0;;
BA;29;Bahia;2010;;;;;14016906,0;;
BA;29;Bahia;2017;;;7110938935,82;0,435;;12,8;
BA;29;Bahia;2018;;;7453024793,12;0,43;;16,3;
BA;29;Bahia;2019;;;7817073961,5;0,416;;12,8;50,6
BA;29;Bahia;2020;502047,0;499647,0;8746113642,4;0,425;;12,5;46,6
BA;29;Bahia;2021;709513,0;574796,0;9774034226,35;0,452;;;55,8
BA;29;Bahia;2022;850996,0;733339,0;11027877220,49;0,373;14141626,0;7,9;50,5
BA;29;Bahia;2023;870463,0;797938,0;12528737145,79;;;7,0;45,9567230401765
BA;29;Bahia;2024;961394,0;880909,0;;;;8,7;
BA;29;Bahia;2025;186748,0;159684,0;;;;;
CE;23;Ceará;1991;;;;;6366647,0;;
CE;23;Ceará;1996;;;;;6809290,0;;
CE;23;Ceará;2000;;;;;7431597,0;;
CE;23;Ceará;2007;;;;;8185286,0;;
CE;23;Ceará;2010;;;;;8452381,0;;
CE;23;Ceará;2017;;;3592167601,13;0,364;;8,0;
CE;23;Ceará;2018;;;3812005892,78;0,354;;4,0;
CE;23;Ceará;2019;;;3919740109,41;0,335;;6,0;51,0
CE;23;Ceará;2020;348315,0;318948,0;4609308925,76;0,347;;6,9;47,5
CE;23;Ceará;2021;475227,0;376558,0;5206817163,28;0,368;;;54,6
CE;23;Ceará;2022;531407,0;463665,0;6012356621,97;0,298;8794957,0;8,1;50,7
CE;23;Ceará;2023;552640,0;497120,0;6171675951,48;;;5,8;48,7233692607258
CE;23;Ceará;2024;608121,0;552809,0;;;;3,0;
CE;23;Ceará;2025;113255,0;107992,0;;;;;
DF;53;Distrito Federal;1991;;;;;1601094,0;;
DF;53;Distrito Federal;1996;;;;;1821946,0;;
DF;53;Distrito Federal;2000;;;;;2051146,0;;
DF;53;Distrito Federal;2007;;;;;2455903,0;;
DF;53;Distrito Federal;2010;;;;;2570160,0;;
DF;53;Distrito Federal;2017;;;3471816458,32;0,199;;6,0;
DF;53;Distrito Federal;2018;;;3580568357,55;0,198;;7,1;
DF;53;Distrito Federal;2019;;;3193351917,8;0,208;;7,3;18,0
DF;53;Distrito Federal;2020;233838,0;245370,0;3763600540,11;0,222;;8,5;17,9
DF;53;Distrito Federal;2021;323673,0;269379,0;4675888506,22;0,223;;;21,0
DF;53;Distrito Federal;2022;397777,0;351626,0;5274603895,23;0,172;2817381,0;6,2;17,1
DF;53;Distrito Federal;2023;406285,0;368942,0;4203437163,58;;;8,8;15,4147755955307
DF;53;Distrito Federal;2024;450671,0;408877,0;;;;15,7;
DF;53;Distrito Federal;2025;86914,0;72399,0;;;;;
ES;32;Espírito Santo;1991;;;;;2600618,0;;
ES;32;Espírito Santo;1996;;;;;2802707,0;;
ES;32;Espírito Santo;2000;;;;;3097498,0;;
ES;32;Espírito Santo;2007;;;;;3351669,0;;
ES;32;Espírito Santo;2010;;;;;3514952,0;;
ES;32;Espírito Santo;2017;;;2364922991,56;0,28;;7,1;
ES;32;Espírito Santo;2018;;;2638349125,23;0,264;;9,4;
ES;32;Espírito Santo;2019;;;2642080503,38;0,246;;8,7;27,7
ES;32;Espírito Santo;2020;284289,0;275952,0;3222378730,79;0,263;;8,8;26,2
ES;32;Espírito Santo;2021;388932,0;335090,0;3853706867,15;0,287;;;34,1
ES;32;Espírito Santo;2022;465871,0;419731,0;4176665709,73;0,201;3833712,0;5,6;26,3
ES;32;Espírito Santo;2023;503157,0;468590,0;4940870439,16;;;4,4;22,8134626379244
ES;32;Espírito Santo;2024;558418,0;523840,0;;;;3,0;
ES;32;Espírito Santo;2025;102196,0;95371,0;;;;;
GO;52;Goiás;1991;;;;;4018903,0;;
GO;52;Goiás;1996;;;;;4514967,0;;
GO;52;Goiás;2000;;;;;5004197,0;;
GO;52;Goiás;2007;;;;;5647035,0;;
GO;52;Goiás;2010;;;;;6003788,0;;
GO;52;Goiás;2017;;;3688714441,52;0,253;;11,1;
GO;52;Goiás;2018;;;3938367435,94;0,228;;5,4;
GO;52;Goiás;2019;;;4372169253,65;0,25;;13,2;27,1
GO;52;Goiás;2020;488672,0;460629,0;4511375954,5;0,274;;12,0;26,0
GO;52;Goiás;2021;696296,0;585671,0;5815528327,6;0,27;;;31,4
GO;52;Goiás;2022;865324,0;775196,0;5976621148,89;0,198;7056495,0;7,1;22,7
GO;52;Goiás;2023;900541,0;848578,0;4910756070,44;;;4,2;18,4388884256177
GO;52;Goiás;2024;980619,0;921639,0;;;;5,1;
GO;52;Goiás;2025;192982,0;158203,0;;;;;
MA;21;Maranhão;1991;;;;;4930253,0;;
MA;21;Maranhão;1996;;;;;5222183,0;;
MA;21;Maranhão;2000;;;;;5657552,0;;
MA;21;Maranhão;2007;;;;;6118995,0;;
MA;21;Maranhão;2010;;;;;6574789,0;;
MA;21;Maranhão;2017;;;2682007143,7;0,44;;7,9;
MA;21;Maranhão;2018;;;2746195467,44;0,455;;8,6;
MA;21;Maranhão;2019;;;2426150002,25;0,45;;5,2;62,1
MA;21;Maranhão;2020;147185,0;127161,0;3067348034,31;0,429;;10,5;57,3
MA;21;Maranhão;2021;197238,0;157919,0;3550300224,6;0,495;;;65,6
MA;21;Maranhão;2022;246172,0;207879,0;4212634918,94;0,359;6776699,0;7,6;56,7
MA;21;Maranhão;2023;242242,0;220321,0;4733833430,64;;;4,4;51,2180090410523
MA;21;Maranhão;2024;259585,0;243275,0;;;;6,0;
MA;21;Maranhão;2025;48365,0;45876,0;;;;;
MG;31;Minas Gerais;1991;;;;;15743152,0;;
MG;31;Minas Gerais;1996;;;;;16672613,0;;
MG;31;Minas Gerais;2000;;;;;17905134,0;;
MG;31;Minas Gerais;2007;;;;;19273506,0;;
MG;31;Minas Gerais;2010;;;;;19597330,0;;
MG;31;Minas Gerais;2017;;;8606047757,55;0,29;;8,1;
MG;31;Minas Gerais;2018;;;7482980197,62;0,279;;6,6;
MG;31;Minas Gerais;2019;;;10142678538,65;0,268;;11,5;27,3
MG;31;Minas Gerais;2020;1517741,0;1476342,0;9762132741,87;0,287;;8,1;24,3
MG;31;Minas Gerais;2021;2096367,0;1775187,0;13833431706,79;0,3;;;31,3
MG;31;Minas Gerais;2022;2418303,0;2236991,0;12622855970,24;0,215;20539989,0;5,0;27,0
MG;31;Minas Gerais;2023;2562775,0;2419102,0;13595397549,44;;;2,2;19,7695314016148
MG;31;Minas Gerais;2024;2763831,0;2622621,0;;;;4,5;
MG;31;Minas Gerais;2025;519565,0;462922,0;;;;;
MS;50;Mato Grosso do Sul;1991;;;;;1780373,0;;
MS;50;Mato Grosso do Sul;1996;;;;;1927834,0;;
MS;50;Mato Grosso do Sul;2000;;;;;2078070,0;;
MS;50;Mato Grosso do Sul;2007;;;;;2265274,0;;
MS;50;Mato Grosso do Sul;2010;;;;;2449024,0;;
MS;50;Mato Grosso do Sul;2017;;;1266785544,4;0,238;;9,0;
MS;50;Mato Grosso do Sul;2018;;;1347332892,23;0,22;;4,8;
MS;50;Mato Grosso do Sul;2019;;;1400013933,06;0,206;;5,6;22,2
MS;50;Mato Grosso do Sul;2020;199479,0;184433,0;1622865354,67;0,227;;5,1;23,9
MS;50;Mato Grosso do Sul;2021;266979,0;228342,0;1900871659,28;0,232;;;29,8
MS;50;Mato Grosso do Sul;2022;354359,0;314695,0;2227436851,71;0,172;2757013,0;2,1;21,3
MS;50;Mato Grosso do Sul;2023;388459,0;361316,0;2362287049,83;;;3,7;19,2788580195199
MS;50;Mato Grosso do Sul;2024;408773,0;396354,0;;;;5,4;
MS;50;Mato Grosso do Sul;2025;78201,0;66692,0;;;;;
MT;51;Mato Grosso;1991;;;;;2027231,0;;
MT;51;Mato Grosso;1996;;;;;2235832,0;;
MT;51;Mato Grosso;2000;;;;;2505245,0;;
MT;51;Mato Grosso;2007;;;;;2854642,0;;
MT;51;Mato Grosso;2010;;;;;3035122,0;;
MT;51;Mato Grosso;2017;;;1613062895,99;0,232;;5,5;
MT;51;Mato Grosso;2018;;;1825580733,37;0,221;;6,9;
MT;51;Mato Grosso;2019;;;1801877941,71;0,209;;1,8;23,0
MT;51;Mato Grosso;2020;331829,0;309173,0;2018381954,72;0,226;;10,6;24,2
MT;51;Mato Grosso;2021;460132,0;388635,0;2977190793,24;0,233;;;28,6
MT;51;Mato Grosso;2022;576790,0;519796,0;3279878090,0;0,161;3658649,0;1,1;22,1
MT;51;Mato Grosso;2023;609036,0;571616,0;3804722039,99;;;1,9;17,2426881577232
MT;51;Mato Grosso;2024;646100,0;620832,0;;;;1,7;
MT;51;Mato Grosso;2025;133241,0;104024,0;;;;;
PA;15;Pará;1991;;;;;4950060,0;;
PA;15;Pará;1996;;;;;5510849,0;;
PA;15;Pará;2000;;;;;6195965,0;;
PA;15;Pará;2007;;;;;7065573,0;;
PA;15;Pará;2010;;;;;7581051,0;;
PA;15;Pará;2017;;;2594225972,21;0,377;;4,4;
PA;15;Pará;2018;;;3135659206,43;0,394;;5,2;
PA;15;Pará;2019;;;2855943600,81;0,365;;4,1;54,7
PA;15;Pará;2020;265256,0;233794,0;3949854793,14;0,336;;5,4;46,3
PA;15;Pará;2021;368204,0;304599,0;4488580185,15;0,397;;;55,1
PA;15;Pará;2022;409809,0;378308,0;5171095192,56;0,342;8120131,0;5,4;47,0
PA;15;Pará;2023;439060,0;394326,0;5654080997,94;;;3,6;39,2429459237995
PA;15;Pará;2024;476774,0;438157,0;;;;5,5;
PA;15;Pará;2025;84958,0;78171,0;;;;;
PB;25;Paraíba;1991;;;;;3201114,0;;
PB;25;Paraíba;1996;;;;;3305616,0;;
PB;25;Paraíba;2000;;;;;3444794,0;;
PB;25;Paraíba;2007;;;;;3641395,0;;
PB;25;Paraíba;2010;;;;;3766528,0;;
PB;25;Paraíba;2017;;;1363810348,64;0,375;;6,0;
PB;25;Paraíba;2018;;;1466143344,74;0,385;;8,7;
PB;25;Paraíba;2019;;;1377492761,48;0,427;;11,6;51,9
PB;25;Paraíba;2020;122197,0;113379,0;1646238664,54;0,452;;9,0;49,2
PB;25;Paraíba;2021;163776,0;129005,0;2071326404,0;0,464;;;56,2
PB;25;Paraíba;2022;186452,0;163478,0;2157988496,71;0,366;3974687,0;8,3;52,7
PB;25;Paraíba;2023;196274,0;176441,0;2685387371,62;;;7,5;47,436198335318
PB;25;Paraíba;2024;226598,0;199603,0;;;;7,5;
PB;25;Paraíba;2025;43229,0;43424,0;;;;;
PE;26;Pernambuco;1991;;;;;7127855,0;;
PE;26;Pernambuco;1996;;;;;7399071,0;;
PE;26;Pernambuco;2000;;;;;7929154,0;;
PE;26;Pernambuco;2007;;;;;8485386,0;;
PE;26;Pernambuco;2010;;;;;8796448,0;;
PE;26;Pernambuco;2017;;;5139289622,29;0,43;;13,5;
PE;26;Pernambuco;2018;;;5287722577,58;0,409;;10,2;
PE;26;Pernambuco;2019;;;5508883865,97;0,4;;13,6;51,8
PE;26;Pernambuco;2020;351203,0;349864,0;6763222984,49;0,408;;11,8;49,2
PE;26;Pernambuco;2021;479867,0;391738,0;7705736687,29;0,461;;;59,7
PE;26;Pernambuco;2022;547180,0;487281,0;8687970602,71;0,353;9058931,0;9,8;50,7
PE;26;Pernambuco;2023;578065,0;526766,0;8599003075,92;;;8,3;47,478001724886
PE;26;Pernambuco;2024;630759,0;570425,0;;;;11,1;
PE;26;Pernambuco;2025;114670,0;112312,0;;;;;
PI;22;Piauí;1991;;;;;2582137,0;;
PI;22;Piauí;1996;;;;;2673085,0;;
PI;22;Piauí;2000;;;;;2843428,0;;
PI;22;Piauí;2007;;;;;3032421,0;;
PI;22;Piauí;2010;;;;;3118360,0;;
PI;22;Piauí;2017;;;1603749309,63;0,4;;7,6;
PI;22;Piauí;2018;;;1608602996,46;0,406;;9,8;
PI;22;Piauí;2019;;;1727168499,14;0,412;;7,9;52,6
PI;22;Piauí;2020;73571,0;71158,0;2243838787,44;0,419;;8,7;46,6
PI;22;Piauí;2021;112354,0;86725,0;2431276029,39;0,422;;;51,8
PI;22;Piauí;2022;128037,0;115658,0;2938977936,17;0,37;3271199,0;5,8;48,2
PI;22;Piauí;2023;142917,0;123513,0;2958687842,12;;;7,7;45,3403179880623
PI;22;Piauí;2024;146556,0;133176,0;;;;4,3;
PI;22;Piauí;2025;26760,0;24732,0;;;;;
PR;41;Paraná;1991;;;;;8448713,0;;
PR;41;Paraná;1996;;;;;9003804,0;;
PR;41;Paraná;2000;;;;;9564643,0;;
PR;41;Paraná;2007;;;;;10284503,0;;
PR;41;Paraná;2010;;;;;10444526,0;;
PR;41;Paraná;2017;;;5156147092,8;0,212;;8,0;
PR;41;Paraná;2018;;;5272775279,12;0,203;;7,2;
PR;41;Paraná;2019;;;5254727999,08;0,197;;7,2;20,1
PR;41;Paraná;2020;1128743,0;1078076,0;6160880473,04;0,225;;6,8;20,1
PR;41;Paraná;2021;1498594,0;1318986,0;6630881836,13;0,215;;;23,4
PR;41;Paraná;2022;1705282,0;1589323,0;6867372738,0;0,159;11444380,0;3,8;20,0
PR;41;Paraná;2023;1764891,0;1678250,0;8276873213,07;;;7,7;17,2917404791827
PR;41;Paraná;2024;1977453,0;1850384,0;;;;5,7;
PR;41;Paraná;2025;391203,0;336109,0;;;;;
RJ;33;Rio de Janeiro;1991;;;;;12807706,0;;
RJ;33;Rio de Janeiro;1996;;;;;13406308,0;;
RJ;33;Rio de Janeiro;2000;;;;;14392106,0;;
RJ;33;Rio de Janeiro;2007;;;;;15420375,0;;
RJ;33;Rio de Janeiro;2010;;;;;15989929,0;;
RJ;33;Rio de Janeiro;2017;;;6539295728,74;0,271;;12,8;
RJ;33;Rio de Janeiro;2018;;;6215920921,92;0,263;;12,0;
RJ;33;Rio de Janeiro;2019;;;5631635866,69;0,265;;13,0;25,8
RJ;33;Rio de Janeiro;2020;889265,0;992902,0;6623086843,88;0,305;;8,9;25,9
RJ;33;Rio de Janeiro;2021;1231386,0;1053219,0;8376540215,47;0,311;;;30,5
RJ;33;Rio de Janeiro;2022;1485908,0;1301418,0;9487760366,0;0,227;16055174,0;16,3;26,6
RJ;33;Rio de Janeiro;2023;1521087,0;1355048,0;8466461752,88;;;7,8;21,032269174701
RJ;33;Rio de Janeiro;2024;1664481,0;1515712,0;;;;8,0;
RJ;33;Rio de Janeiro;2025;300358,0;281344,0;;;;;
RN;24;Rio Grande do Norte;1991;;;;;2415567,0;;
RN;24;Rio Grande do Norte;1996;;;;;2558660,0;;
RN;24;Rio Grande do Norte;2000;;;;;2777509,0;;
RN;24;Rio Grande do Norte;2007;;;;;3013740,0;;
RN;24;Rio Grande do Norte;2010;;;;;3168027,0;;
RN;24;Rio Grande do Norte;2017;;;1368166159,09;0,398;;10,1;
RN;24;Rio Grande do Norte;2018;;;1569741459,58;0,367;;8,4;
RN;24;Rio Grande do Norte;2019;;;1398041951,47;0,367;;13,0;47,1
RN;24;Rio Grande do Norte;2020;128290,0;123837,0;1784563561,68;0,379;;9,2;41,6
RN;24;Rio Grande do Norte;2021;180605,0;143011,0;1923669100,77;0,389;;;50,9
RN;24;Rio Grande do Norte;2022;193837,0;173103,0;2157387742,1;0,325;3302729,0;8,4;44,2
RN;24;Rio Grande do Norte;2023;209231,0;186298,0;2383499931,97;;;6,6;43,5067334061648
RN;24;Rio Grande do Norte;2024;239448,0;205748,0;;;;6,1;
RN;24;Rio Grande do Norte;2025;42196,0;40329,0;;;;;
RO;11;Rondônia;1991;;;;;1132692,0;;
RO;11;Rondônia;1996;;;;;1229306,0;;
RO;11;Rondônia;2000;;;;;1380952,0;;
RO;11;Rondônia;2007;;;;;1453756,0;;
RO;11;Rondônia;2010;;;;;1562409,0;;
RO;11;Rondônia;2017;;;1149828995,38;0,255;;3,8;
RO;11;Rondônia;2018;;;1157017620,71;0,283;;11,3;
RO;11;Rondônia;2019;;;1121567323,32;0,256;;4,2;32,5
RO;11;Rondônia;2020;87791,0;85818,0;1480936731,45;0,267;;2,7;28,7
RO;11;Rondônia;2021;123469,0;109355,0;1795228097,96;0,276;;;39,2
RO;11;Rondônia;2022;151022,0;135622,0;1924583962,49;0,226;1581196,0;4,7;29,6
RO;11;Rondônia;2023;155923,0;145389,0;2303851832,02;;;3,3;24,4140564982483
RO;11;Rondônia;2024;164543,0;155856,0;;;;2,6;
RO;11;Rondônia;2025;30753,0;27579,0;;;;;
RR;14;Roraima;1991;;;;;217583,0;;
RR;14;Roraima;1996;;;;;247131,0;;
RR;14;Roraima;2000;;;;;324397,0;;
RR;14;Roraima;2007;;;;;395725,0;;
RR;14;Roraima;2010;;;;;450479,0;;
RR;14;Roraima;2017;;;742289440,91;0,269;;7,4;
RR;14;Roraima;2018;;;756069764,5;0,308;;9,0;
RR;14;Roraima;2019;;;778723866,95;0,328;;5,1;49,7
RR;14;Roraima;2020;23485,0;19403,0;885619834,16;0,34;;16,2;48,5
RR;14;Roraima;2021;33039,0;28301,0;1222033499,38;0,331;;;57,1
RR;14;Roraima;2022;44467,0;38213,0;1463056257,75;0,226;636707,0;9,1;45,1
RR;14;Roraima;2023;45653,0;41827,0;1405665899,83;;;6,7;35,4768890350515
RR;14;Roraima;2024;47688,0;42479,0;;;;6,2;
RR;14;Roraima;2025;8486,0;7310,0;;;;;
RS;43;Rio Grande do Sul;1991;;;;;9138670,0;;
RS;43;Rio Grande do Sul;1996;;;;;9634688,0;;
RS;43;Rio Grande do Sul;2000;;;;;10187842,0;;
RS;43;Rio Grande do Sul;2007;;;;;10582840,0;;
RS;43;Rio Grande do Sul;2010;;;;;10693929,0;;
RS;43;Rio Grande do Sul;2017;;;5630996489,94;0,215;;4,5;
RS;43;Rio Grande do Sul;2018;;;6065200001,81;0,218;;7,6;
RS;43;Rio Grande do Sul;2019;;;6276796941,61;0,204;;3,8;15,9
RS;43;Rio Grande do Sul;2020;930106,0;944617,0;7416814673,24;0,227;;3,6;16,8
RS;43;Rio Grande do Sul;2021;1264945,0;1110254,0;8268307895,08;0,216;;;18,9
RS;43;Rio Grande do Sul;2022;1399854,0;1296723,0;8138678491,61;0,178;10882965,0;1,6;16,8
RS;43;Rio Grande do Sul;2023;1409130,0;1363147,0;9538557730,32;;;7,6;14,4216685711101
RS;43;Rio Grande do Sul;2024;1529591,0;1465139,0;;;;3,0;
RS;43;Rio Grande do Sul;2025;331757,0;274332,0;;;;;
SC;42;Santa Catarina;1991;;;;;4541994,0;;
SC;42;Santa Catarina;1996;;;;;4875244,0;;
SC;42;Santa Catarina;2000;;;;;5357864,0;;
SC;42;Santa Catarina;2007;;;;;5866252,0;;
SC;42;Santa Catarina;2010;;;;;6248436,0;;
SC;42;Santa Catarina;2017;;;2924916032,24;0,157;;6,5;
SC;42;Santa Catarina;2018;;;3502440599,68;0,146;;9,0;
SC;42;Santa Catarina;2019;;;3308088618,7;0,141;;8,8;11,9
SC;42;Santa Catarina;2020;1003087,0;952863,0;4137585284,75;0,145;;3,6;13,3
SC;42;Santa Catarina;2021;1392788,0;1215839,0;4755710104,26;0,133;;;14,8
SC;42;Santa Catarina;2022;1466618,0;1377611,0;5919909612,66;0,106;7610361,0;;12,8
SC;42;Santa Catarina;2023;1492050,0;1431084,0;6455619161,26;;;0,3;11,4788244243592
SC;42;Santa Catarina;2024;1672889,0;1569466,0;;;;1,7;
SC;42;Santa Catarina;2025;346604,0;293445,0;;;;;
SE;28;Sergipe;1991;;;;;1491876,0;;
SE;28;Sergipe;1996;;;;;1624020,0;;
SE;28;Sergipe;2000;;;;;1784829,0;;
SE;28;Sergipe;2007;;;;;1939426,0;;
SE;28;Sergipe;2010;;;;;2068017,0;;
SE;28;Sergipe;2017;;;1092847826,87;0,431;;9,3;
SE;28;Sergipe;2018;;;1201210767,12;0,458;;9,6;
SE;28;Sergipe;2019;;;1327113458,37;0,434;;5,6;52,5
SE;28;Sergipe;2020;67402,0;71144,0;1631910331,21;0,439;;14,8;43,9
SE;28;Sergipe;2021;95309,0;81582,0;1918443616,28;0,484;;;55,7
SE;28;Sergipe;2022;110795,0;100568,0;2310996450,72;0,378;2210004,0;8,4;45,6
SE;28;Sergipe;2023;119340,0;105696,0;2320940235,46;;;3,9;44,0732058472424
SE;28;Sergipe;2024;135086,0;119963,0;;;;3,2;
SE;28;Sergipe;2025;26188,0;26232,0;;;;;
SP;35;São Paulo;1991;;;;;31588925,0;;
SP;35;São Paulo;1996;;;;;34119110,0;;
SP;35;São Paulo;2000;;;;;37035456,0;;
SP;35;São Paulo;2007;;;;;39827570,0;;
SP;35;São Paulo;2010;;;;;41262199,0;;
SP;35;São Paulo;2017;;;23825810741,7;0,239;;7,8;
SP;35;São Paulo;2018;;;24726663134,66;0,236;;15,9;
SP;35;São Paulo;2019;;;25538750362,89;0,219;;7,4;18,7
SP;35;São Paulo;2020;4755578,0;4741312,0;28804147060,67;0,247;;12,7;20,2
SP;35;São Paulo;2021;6525003,0;5643109,0;30226723877,74;0,26;;;23,7
SP;35;São Paulo;2022;7072326,0;6508968,0;33030717629,36;0,174;44411238,0;6,6;19,6
SP;35;São Paulo;2023;7116625,0;6731521,0;33936154598,62;;;8,0;16,4653849782578
SP;35;São Paulo;2024;8016921,0;7558775,0;;;;5,4;
SP;35;São Paulo;2025;1509119,0;1335413,0;;;;;
TO;17;Tocantins;1991;;;;;919863,0;;
TO;17;Tocantins;1996;;;;;1048642,0;;
TO;17;Tocantins;2000;;;;;1157690,0;;
TO;17;Tocantins;2007;;;;;1243627,0;;
TO;17;Tocantins;2010;;;;;1383445,0;;
TO;17;Tocantins;2017;;;1431295010,2;0,305;;7,9;
TO;17;Tocantins;2018;;;1688927976,24;0,3;;8,4;
TO;17;Tocantins;2019;;;1768472027,05;0,334;;3,3;43,7
TO;17;Tocantins;2020;61588,0;54868,0;1938985027,39;0,31;;9,3;38,2
TO;17;Tocantins;2021;89175,0;73007,0;2355093465,93;0,347;;;42,8
TO;17;Tocantins;2022;113652,0;99584,0;2707910373,61;0,206;1511460,0;5,4;34,0
TO;17;Tocantins;2023;123575,0;110095,0;3242608566,37;;;7,0;28,5988038059199
TO;17;Tocantins;2024;132402,0;123986,0;;;;3,5;
TO;17;Tocantins;2025;26559,0;21738,0;;;;;
